ipa,homolog,v_or_c,sonority,manner,placerough,place,voicing,position,height,voweltype,voicingpair
a,a,vowel,3: vowel,vowel,,,,central,open,monophthong,
ɔʏ,aɪ,vowel,3: vowel,vowel,,,,,,diphtong,
aj,aɪ,vowel,3: vowel,vowel,,,,,,diphtong,
aw,aw,vowel,3: vowel,vowel,,,,,,diphtong,
ɔ,ɔ,vowel,3: vowel,vowel,,,,back,open,monophthong,
ɒ,ɔ,vowel,3: vowel,vowel,,,,back,open,monophthong,
ø,ø,vowel,3: vowel,vowel,,,,front,mid,monophthong,
i,i,vowel,3: vowel,vowel,,,,front,close,monophthong,
ɛ,ɛ,vowel,3: vowel,vowel,,,,front,mid,monophthong,
ə,ə,vowel,3: vowel,vowel,,,,central,mid,monophthong,
e,e,vowel,3: vowel,vowel,,,,front,mid,monophthong,
ʁ,r,consonant,2: nasal/approximant,approximant,,postalveolar/palatal,,,,,
v,v,consonant,1: obstruents,fricative,,labial,voiced,,,,f
l,l,consonant,2: nasal/approximant,approximant,,dental/alveolar,,,,,
m,m,consonant,2: nasal/approximant,nasal,,labial,,,,,
n,n,consonant,2: nasal/approximant,nasal,,dental/alveolar,,,,,
ŋ,ŋ,consonant,2: nasal/approximant,nasal,,velar/uvular,,,,,
ɲ,ŋ,consonant,2: nasal/approximant,nasal,,postalveolar/palatal,voiced,,,,
z,z,consonant,1: obstruents,fricative,,dental/alveolar,voiced,,,,s
x,x,consonant,1: obstruents,fricative,,postalveolar/palatal,voiceless,,,,
t,t,consonant,1: obstruents,plosive,,dental/alveolar,voiceless,,,,t
ɡ,ɡ,consonant,1: obstruents,plosive,,velar/uvular,voiced,,,,k
ɟ,ɡ,consonant,1: obstruents,plosive,dorsal,velar/uvular,voiced,,,,k
f,f,consonant,1: obstruents,fricative,,labial,voiceless,,,,f
h,h,consonant,1: obstruents,fricative,,glottal,voiceless,,,,
p,p,consonant,1: obstruents,plosive,,labial,voiceless,,,,p
pf,p,consonant,1: obstruents,affricate,,labial,voiceless,,,,
b,b,consonant,1: obstruents,plosive,,labial,voiced,,,,p
k,k,consonant,1: obstruents,plosive,,velar/uvular,voiceless,,,,k
c,k,consonant,1: obstruents,plosive,dorsal,velar/uvular,voiceless,,,,k
ç,x,consonant,1: obstruents,plosive,dorsal,velar/uvular,voiceless,,,,k
x,x,consonant,1: obstruents,plosive,dorsal,velar/uvular,voiceless,,,,k
j,j,consonant,2: nasal/approximant,approximant,,postalveolar/palatal,,,,,
ʊ,ʊ,vowel,3: vowel,vowel,,,,back,close,monophthong,
o,o,vowel,3: vowel,vowel,,,,back,mid,monophthong,
ɪ,ɪ,vowel,3: vowel,vowel,,,,front,close,monophthong,
ʏ,ɪ,vowel,3: vowel,vowel,,,,front,close,monophthong,
y,y,vowel,3: vowel,vowel,,,,front,close,monophthong,
u,u,vowel,3: vowel,vowel,,,,back,close,monophthong,
œ,œ,vowel,3: vowel,vowel,,,,front,mid,monophthong,
d,d,consonant,1: obstruents,plosive,,dental/alveolar,voiced,,,,t
ʒ,ʒ,consonant,1: obstruents,fricative,,postalveolar/palatal,voiced,,,,ʃ
ts,t,consonant,1: obstruents,affricate,,dental/alveolar,voiceless,,,,
tʃ,tʃ,consonant,1: obstruents,affricate,,postalveolar/palatal,voiceless,,,,
ʃ,ʃ,consonant,1: obstruents,fricative,,postalveolar/palatal,voiceless,,,,ʃ
s,s,consonant,1: obstruents,fricative,,dental/alveolar,voiceless,,,,s
z,z,consonant,1: obstruents,fricative,coronal,dental/alveolar,voiced,,,,s
