ipa,homolog,v_or_c,sonority,manner,placerough,place,voicing,position,height,voweltype,voicingpair
a,a,vowel,3: vowel,vowel,,,,front,open,monophthong,
ɑ,ɑ,vowel,3: vowel,vowel,,,,back,open,monophthong,
ɐ,ʌ,vowel,3: vowel,vowel,,,,central,open,monophthong,
ʌ,ʌ,vowel,3: vowel,vowel,,,,back,mid,monophthong,
b,b,consonant,1: obstruents,plosive,labial,labial,voiced,,,,p
t,t,consonant,1: obstruents,plosive,coronal,dental/alveolar,voiceless,,,,t
ʈ,t,consonant,1: obstruents,plosive,coronal,dental/alveolar,voiceless,,,,t
ɾ,t,consonant,1: obstruents,plosive,coronal,dental/alveolar,voiceless,,,,t
ɪ,ɪ,vowel,3: vowel,vowel,,,,front,close,monophthong,
l,l,consonant,2: nasal/approximant,approximant,,dental/alveolar,,,,,
ɫ,l,consonant,2: nasal/approximant,approximant,,dental/alveolar,,,,,
e,e,vowel,3: vowel,vowel,,,,front,close,monophthong,
ə,ə,vowel,3: vowel,vowel,,,,central,mid,monophthong,
ɜ,ɜ,vowel,3: vowel,vowel,,,,central,mid,monophthong,
ɛ,ɛ,vowel,3: vowel,vowel,,,,front,open,monophthong,
æ,æ,vowel,3: vowel,vowel,,,,front,open,monophthong,
aʊ,aw,vowel,3: vowel,vowel,,,,,,diphthong,
əw,aw,vowel,3: vowel,vowel,,,,,,diphthong,
aw,aw,vowel,3: vowel,vowel,,,,,,diphthong,
v,v,consonant,1: obstruents,fricative,labial,labial,voiced,,,,f
ʋ,w,consonant,2: nasal/approximant,approximant,labial,labial,voiced,,,,f
w,w,consonant,2: nasal/approximant,approximant,,velar/uvular,,,,,
n,n,consonant,2: nasal/approximant,nasal,coronal,labial,,,,,
aɪ,aɪ,vowel,3: vowel,vowel,,,,,,diphthong,
aj,aɪ,vowel,3: vowel,vowel,,,,,,diphthong,
ɔj,aɪ,vowel,3: vowel,vowel,,,,,,diphthong,
ɔ,ɔ,vowel,3: vowel,vowel,,,,back,open,monophthong,
ɒ,ɔ,vowel,3: vowel,vowel,,,,back,open,monophthong,
o,o,vowel,3: vowel,vowel,,,,back,open,monophthong,
k,k,consonant,1: obstruents,plosive,dorsal,velar/uvular,voiceless,,,,k
c,k,consonant,1: obstruents,plosive,dorsal,velar/uvular,voiceless,,,,k
kp,k,consonant,1: obstruents,plosive,dorsal,velar/uvular,voiceless,,,,k
m,m,consonant,2: nasal/approximant,nasal,labial,labial,,,,,
h,h,consonant,1: obstruents,fricative,dorsal,glottal,voiceless,,,,
ç,h,consonant,1: obstruents,fricative,,postalveolar/palatal,voiceless,,,,
oʊ,ow,vowel,3: vowel,vowel,,,,,,diphthong,
ow,ow,vowel,3: vowel,vowel,,,,,,diphthong,
eɪ,ej,vowel,3: vowel,vowel,,,,,,diphthong,
ej,ej,vowel,3: vowel,vowel,,,,,,diphthong,
ɹ,r,consonant,2: nasal/approximant,approximant,,postalveolar/palatal,,,,,
i,i,vowel,3: vowel,vowel,,,,front,close,monophthong,
z,z,consonant,1: obstruents,fricative,coronal,dental/alveolar,voiced,,,,s
θ,θ,consonant,1: obstruents,fricative,,dental/alveolar,voiceless,,,,θ
ŋ,ŋ,consonant,2: nasal/approximant,nasal,dorsal,velar/uvular,,,,,
ɲ,ŋ,consonant,2: nasal/approximant,nasal,,postalveolar/palatal,voiced,,,,
s,s,consonant,1: obstruents,fricative,coronal,dental/alveolar,voiceless,,,,s
d,d,consonant,1: obstruents,plosive,coronal,dental/alveolar,voiced,,,,t
ɖ,d,consonant,1: obstruents,plosive,coronal,dental/alveolar,voiced,,,,t
p,p,consonant,1: obstruents,plosive,labial,labial,voiceless,,,,p
ð,ð,consonant,1: obstruents,fricative,,dental/alveolar,voiced,,,,θ
ɝ,ɚ,vowel,3: vowel,vowel,,,,central,mid,monophthong,
ɚ,ɚ,vowel,3: vowel,vowel,,,,central,mid,monophthong,
u,u,vowel,3: vowel,vowel,,,,back,close,monophthong,
ʉ,u,vowel,3: vowel,vowel,,,,back,close,monophthong,
ʃ,ʃ,consonant,1: obstruents,fricative,,postalveolar/palatal,voiceless,,,,ʃ
ɡ,ɡ,consonant,1: obstruents,plosive,dorsal,velar/uvular,voiced,,,,k
ɟ,ɡ,consonant,1: obstruents,plosive,dorsal,velar/uvular,voiced,,,,k
f,f,consonant,1: obstruents,fricative,labial,labial,voiceless,,,,f
j,j,consonant,2: nasal/approximant,approximant,,postalveolar/palatal,,,,,
ʎ,j,consonant,2: nasal/approximant,approximant,,postalveolar/palatal,,,,,
tʃ,tʃ,consonant,1: obstruents,affricate,,postalveolar/palatal,voiceless,,,,tʃ
ʊ,ʊ,vowel,3: vowel,vowel,,,,back,close,monophthong,
dʒ,dʒ,consonant,1: obstruents,affricate,,postalveolar/palatal,voiced,,,,tʃ
ʒ,ʒ,consonant,1: obstruents,fricative,,postalveolar/palatal,voiced,,,,ʃ
