Updates,French Acc,German Acc,LR at end of epoch,Monolingual,,
0,86.5%,0.0%,0.0E+00,,,
10,86.4%,4.2%,8.3E-07,,,
20,86.3%,4.4%,1.7E-06,,,
30,86.1%,4.9%,2.5E-06,,,
40,84.9%,5.4%,3.3E-06,,,
50,77.9%,5.8%,4.2E-06,,,
60,50.2%,5.8%,5.0E-06,,,
70,28.7%,5.2%,5.8E-06,,,
80,23.5%,5.6%,6.7E-06,,,
90,21.6%,6.0%,7.50E-06,,,
100,21.1%,6.4%,8.30E-06,,39.70%,8.73%
110,20.6%,6.7%,9.20E-06,,,
120,20.1%,7.0%,1.00E-05,,,
130,19.5%,7.7%,1.08E-05,,,
140,19.1%,7.7%,1.17E-05,,,
150,18.6%,7.8%,1.25E-05,,,
160,17.6%,7.9%,1.33E-05,,,
170,17.3%,8.0%,1.42E-05,,,
180,17.0%,8.0%,1.50E-05,,,
190,16.8%,8.1%,1.58E-05,,,
200,16.0%,8.2%,1.67E-05,,17.50%,3.50%
210,16.1%,8.2%,1.75E-05,,,
220,15.9%,8.3%,1.83E-05,,,
230,16.1%,8.3%,1.92E-05,,,
240,16.4%,8.3%,2.00E-05,,,
250,16.1%,8.4%,2.08E-05,,,
260,16.1%,8.3%,2.17E-05,,,
270,16.3%,8.5%,2.25E-05,,,
280,16.7%,8.6%,2.33E-05,,,
290,17.7%,8.7%,2.42E-05,,,
300,18.8%,8.9%,2.50E-05,,22.70%,5.12%
310,19.4%,8.9%,2.58E-05,,,
320,21.1%,9.0%,2.67E-05,,,
330,22.0%,9.2%,2.75E-05,,,
340,20.5%,9.2%,2.83E-05,,,
350,22.7%,9.4%,2.92E-05,,,
400,22.2%,10.0%,3.33E-05,,,6.82%
500,17.6%,10.7%,4.17E-05,,,
600,15.9%,12.3%,5.00E-05,,,
700,13.8%,18.1%,5.83E-05,,,
800,11.2%,22.6%,6.67E-05,,,
900,10.3%,27.8%,7.50E-05,,,
1000,9.5%,31.0%,8.33E-05,,,
1100,8.5%,36.1%,9.17E-05,,,
1200,8.1%,40.6%,1.00E-04,,,
1300,7.7%,46.1%,1.08E-04,,,
1400,7.2%,50.0%,1.17E-04,,,
1500,6.9%,55.1%,1.25E-04,,,
1600,6.6%,58.0%,1.33E-04,,,
1700,6.2%,62.0%,1.42E-04,,,
1800,6.1%,63.9%,1.50E-04,,,
1900,6.1%,67.3%,1.58E-04,,42.30%,78.10%
2000,6.0%,69.4%,1.67E-04,,,
2100,6.0%,71.2%,1.75E-04,,,
2200,5.7%,72.6%,1.83E-04,,,
2300,5.5%,74.9%,1.92E-04,,,
2400,5.2%,74.8%,2.00E-04,,,
2500,6.0%,75.2%,2.08E-04,,,
2600,5.3%,76.9%,2.17E-04,,,
2700,5.1%,77.4%,2.25E-04,,,
2800,5.3%,78.2%,2.33E-04,,,
2900,4.7%,79.7%,2.42E-04,,,
3000,4.9%,79.1%,2.50E-04,,,
3100,5.3%,79.5%,2.58E-04,,,
3200,4.8%,81.1%,2.67E-04,,,
3300,4.8%,81.5%,2.75E-04,,,
3400,5.0%,81.0%,2.83E-04,,,
3500,4.9%,81.1%,2.92E-04,,,
3600,4.9%,81.8%,3.00E-04,,,
3700,5.0%,82.1%,3.08E-04,,4.75%,80.20%
3800,5.0%,82.3%,3.17E-04,,,
3900,5.3%,82.0%,3.25E-04,,,
4000,4.9%,83.1%,3.33E-04,,,
5577,4.3%,83.7%,4.65E-04,,,
7436,4.2%,85.3%,6.20E-04,,,
9295,4.2%,85.3%,7.75E-04,,,
11154,4.2%,85.9%,9.30E-04,,,
13013,4.3%,86.7%,1.00E-03,,,
14872,3.6%,87.4%,1.00E-03,,,
16731,3.8%,88.2%,1.00E-03,,,
18590,4.1%,89.1%,1.00E-03,,,
20449,3.8%,88.7%,1.00E-03,,,
22308,3.9%,90.0%,1.00E-03,,,
