Steps,DE-seed1,DE-seed2,DE-seed3,FR-seed1,FR-seed2,FR-seed3
10,0.905,0.906,0.909,0.042,0.0385,0.0422
20,0.905,0.905,0.909,0.0446,0.0426,0.0442
30,0.902,0.903,0.908,0.0511,0.051,0.0483
40,0.897,0.897,0.906,0.0597,0.063,0.055
50,0.897,0.869,0.902,0.0687,0.0748,0.0638
60,0.823,0.745,0.891,0.0779,0.0781,0.0687
70,0.722,0.601,0.861,0.0847,0.0866,0.0718
80,0.639,0.559,0.808,0.0902,0.0902,0.0746
90,0.614,0.567,0.763,0.0962,0.0956,0.0753
100,0.607,0.554,0.738,0.11,0.105,0.0842
110,0.588,0.532,0.73,0.113,0.115,0.0928
120,0.556,0.505,0.719,0.117,0.118,0.10
130,0.529,0.482,0.702,0.12,0.123,0.106
140,0.511,0.468,0.687,0.124,0.127,0.109
150,0.512,0.472,0.673,0.13,0.131,0.117
160,0.512,0.465,0.656,0.134,0.136,0.12
170,0.528,0.484,0.652,0.141,0.143,0.124
180,0.543,0.497,0.655,0.145,0.148,0.127
190,0.561,0.494,0.654,0.148,0.15,0.13
200,0.57,0.52,0.651,0.154,0.152,0.135
210,0.596,0.535,0.659,0.157,0.154,0.139
220,0.605,0.552,0.68,0.162,0.158,0.142
230,0.61,0.563,0.699,0.168,0.168,0.145
240,0.618,0.571,0.709,0.175,0.172,0.148
250,0.614,0.555,0.727,0.181,0.178,0.153
260,0.594,0.552,0.74,0.188,0.183,0.161
270,0.559,0.565,0.735,0.194,0.19,0.167
280,0.537,0.556,0.72,0.20,0.195,0.173
290,0.496,0.537,0.71,0.21,0.203,0.18
300,0.482,0.522,0.696,0.215,0.209,0.188
400,0.368,0.45,0.498,0.281,0.276,0.248
500,0.343,0.437,0.399,0.328,0.322,0.296
600,0.315,0.384,0.372,0.37,0.366,0.34
700,0.304,0.365,0.366,0.403,0.401,0.38
800,0.301,0.35,0.332,0.445,0.441,0.418
900,0.292,0.338,0.321,0.482,0.477,0.455
1000,0.279,0.32,0.299,0.518,0.515,0.494
1100,0.267,0.312,0.279,0.563,0.562,0.535
1200,0.286,0.334,0.295,0.604,0.599,0.572
1300,0.282,0.304,0.264,0.637,0.639,0.606
1400,0.275,0.308,0.261,0.671,0.677,0.636
1500,0.28,0.296,0.271,0.697,0.699,0.666
1600,0.262,0.284,0.267,0.718,0.723,0.69
1700,0.269,0.294,0.282,0.74,0.739,0.71
1800,0.278,0.295,0.288,0.751,0.754,0.733
1900,0.269,0.295,0.285,0.766,0.766,0.745
2000,0.271,0.287,0.277,0.774,0.78,0.758
2100,0.274,0.278,0.275,0.783,0.785,0.77
2200,0.268,0.285,0.277,0.791,0.793,0.78
2300,0.26,0.286,0.274,0.795,0.799,0.783
2400,0.269,0.284,0.274,0.802,0.805,0.793
2500,0.267,0.274,0.273,0.807,0.809,0.801
2600,0.26,0.265,0.278,0.813,0.816,0.806
2700,0.289,0.294,0.291,0.815,0.82,0.81
2800,0.255,0.257,0.28,0.82,0.824,0.817
2900,0.259,0.275,0.273,0.822,0.823,0.821
3000,0.26,0.274,0.278,0.827,0.832,0.823
3100,0.271,0.275,0.301,0.832,0.836,0.829
3200,0.262,0.251,0.27,0.821,0.835,0.83
3300,0.254,0.255,0.267,0.833,0.838,0.835
3400,0.26,0.265,0.281,0.838,0.842,0.838
3500,0.261,0.257,0.273,0.841,0.842,0.84
3600,0.247,0.242,0.281,0.842,0.844,0.844
3700,0.267,0.251,0.27,0.843,0.846,0.842
3800,0.252,0.26,0.283,0.844,0.848,0.847
3900,0.246,0.258,0.273,0.845,0.853,0.849
