Seed,Updates,de_layer_0,de_layer_1,de_layer_2,de_layer_3,de_layer_4,de_layer_5,de_layer_6,de_layer_7,de_layer_8,de_layer_9,de_layer_10,de_layer_11,de_layer_12,fr_layer_0,fr_layer_1,fr_layer_2,fr_layer_3,fr_layer_4,fr_layer_5,fr_layer_6,fr_layer_7,fr_layer_8,fr_layer_9,fr_layer_10,fr_layer_11,fr_layer_12,de2fr_layer_0,de2fr_layer_1,de2fr_layer_2,de2fr_layer_3,de2fr_layer_4,de2fr_layer_5,de2fr_layer_6,de2fr_layer_7,de2fr_layer_8,de2fr_layer_9,de2fr_layer_10,de2fr_layer_11,de2fr_layer_12
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,0.15471,0.27966,0.29052,0.34065,0.33759,0.38766,0.4045,0.36639,0.3689,0.39027,0.30299,0.24062,0.1719,0.15506,0.25448,0.29787,0.30177,0.30488,0.32867,0.32842,0.31988,0.32148,0.37491,0.35013,0.26292,0.19298,0.1741,0.29174,0.29682,0.33191,0.35718,0.36458,0.32262,0.37233,0.40255,0.35847,0.26117,0.221,0.15606
1,20,0.24643,0.37332,0.42261,0.48213,0.51845,0.56816,0.59315,0.58855,0.57887,0.58713,0.51195,0.44147,0.28732,0.24743,0.36942,0.41868,0.43978,0.47474,0.49791,0.48102,0.49123,0.49973,0.52607,0.50629,0.44685,0.3071,0.25803,0.38635,0.44241,0.48277,0.50826,0.51482,0.50409,0.51836,0.55196,0.51526,0.44222,0.41058,0.28847
1,30,0.29299,0.41819,0.4809,0.54481,0.58784,0.62602,0.65135,0.65428,0.65158,0.65908,0.61537,0.56729,0.38864,0.29647,0.40971,0.47259,0.50286,0.53218,0.55786,0.54861,0.55498,0.56916,0.59023,0.57215,0.54073,0.41293,0.29932,0.42196,0.4954,0.53455,0.56586,0.57399,0.56966,0.57963,0.60262,0.57655,0.53193,0.50788,0.37374
1,40,0.3169,0.43775,0.51242,0.57954,0.62258,0.66165,0.68364,0.68578,0.68629,0.69155,0.65717,0.62327,0.47973,0.32257,0.42875,0.50012,0.53764,0.56518,0.59027,0.58397,0.58902,0.60325,0.61755,0.59804,0.57269,0.49361,0.32234,0.44067,0.52311,0.56308,0.59632,0.60333,0.6014,0.60901,0.62409,0.60194,0.56791,0.54769,0.45223
1,50,0.33848,0.45651,0.53118,0.59861,0.64167,0.68314,0.70302,0.70581,0.70726,0.71023,0.68131,0.65449,0.53416,0.34543,0.44439,0.5177,0.55609,0.58598,0.61026,0.60577,0.61083,0.62153,0.63318,0.61293,0.59068,0.52128,0.34544,0.45348,0.53985,0.57954,0.61352,0.62111,0.62099,0.6242,0.63721,0.61683,0.58751,0.56909,0.49201
1,60,0.34709,0.46506,0.54354,0.61135,0.65456,0.69566,0.71576,0.71833,0.72059,0.72288,0.69738,0.67496,0.56669,0.35299,0.45243,0.52929,0.56965,0.59885,0.62309,0.62045,0.62548,0.63472,0.64286,0.62381,0.60389,0.54057,0.3535,0.4634,0.55202,0.59079,0.62538,0.63354,0.63395,0.63585,0.64746,0.62823,0.60212,0.58499,0.5167
1,70,0.35792,0.47398,0.55132,0.61924,0.66212,0.70387,0.72388,0.7274,0.72889,0.73162,0.7089,0.68876,0.59037,0.36441,0.46141,0.53764,0.57724,0.60593,0.63004,0.62937,0.63362,0.64205,0.64859,0.63133,0.61265,0.55354,0.36524,0.47254,0.56085,0.59895,0.63243,0.64107,0.64207,0.64312,0.65279,0.63554,0.6118,0.5948,0.53082
1,80,0.36668,0.47803,0.55761,0.62604,0.66801,0.70956,0.72901,0.73269,0.73513,0.73751,0.71701,0.69762,0.60977,0.37115,0.46615,0.54198,0.58412,0.61343,0.63657,0.63566,0.63924,0.64723,0.65385,0.63632,0.6192,0.56572,0.37299,0.4759,0.56495,0.6035,0.63773,0.64746,0.64699,0.6485,0.65709,0.64136,0.61834,0.60152,0.54389
1,90,0.37214,0.48278,0.56129,0.62867,0.67207,0.71325,0.73265,0.7372,0.73983,0.74235,0.72262,0.70367,0.62527,0.37752,0.47046,0.54744,0.58828,0.61663,0.64116,0.64032,0.64366,0.65132,0.65713,0.64106,0.62447,0.57428,0.37949,0.47967,0.56947,0.60714,0.64049,0.65187,0.65089,0.65258,0.6615,0.64556,0.62377,0.60772,0.55405
1,100,0.37554,0.48733,0.56613,0.63388,0.67649,0.71773,0.73609,0.74233,0.74417,0.74698,0.72786,0.70922,0.63658,0.38129,0.47306,0.55126,0.59279,0.62045,0.64464,0.64488,0.64957,0.65641,0.66186,0.64537,0.62822,0.58166,0.38324,0.48453,0.57469,0.61263,0.64449,0.65583,0.65593,0.65746,0.66605,0.65017,0.62858,0.61325,0.56243
