Steps,fr-seed1,fr-seed2,fr-seed3,de2fr-seed1,de2fr-seed2,de2fr-seed3
0,0,0,0,0,0,0
1680,0.284,0.30,0.245,0,0,0
3360,0.681,0.753,0.336,0,0,0
5040,0.835,0.846,0.742,0,0,0
6720,0.863,0.868,0.843,0,0,0
8400,0.876,0.881,0.865,0,0,0
10080,0.88,0.888,0.876,0.623,0.619,0.622
11760,0.89,0.894,0.885,0.825,0.825,0.834
13440,0.90,0.903,0.891,0.865,0.866,0.864
15120,0.907,0.911,0.897,0.88,0.882,0.882
16800,0.913,0.916,0.901,0.89,0.892,0.891
18480,0.917,0.919,0.908,0.897,0.896,0.897
20160,0.92,0.923,0.911,0.901,0.903,0.903
21840,0.923,0.925,0.914,0.909,0.908,0.909
23520,0.925,0.927,0.917,0.914,0.912,0.913
25200,0.926,0.929,0.919,0.919,0.918,0.918
26880,0.928,0.93,0.922,0.922,0.922,0.921
28560,0.93,0.932,0.924,0.924,0.923,0.925
30240,0.93,0.933,0.926,0.927,0.927,0.925
31920,0.931,0.935,0.928,0.929,0.929,0.927
33600,0.932,0.934,0.931,0.931,0.93,0.929
35280,0.934,0.936,0.931,0.931,0.932,0.931
36960,0.935,0.936,0.932,0.933,0.933,0.932
38640,0.936,0.937,0.931,0.934,0.933,0.932
40320,0.936,0.938,0.932,0.935,0.934,0.935
42000,0.937,0.938,0.936,0.936,0.936,0.935
