name,layer,lang_a,epoch_a,lang_b,epoch_b,score
de25_v_de25_take2_ckpt24_layer0,0,de25,24,de25_take2,24,0.9814832210540771
de25_v_de25_take2_ckpt25_layer0,0,de25,25,de25_take2,25,0.9802148342132568
de25_v_de25_take2_ckpt24_layer1,1,de25,24,de25_take2,24,0.9103555083274841
de25_v_de25_take2_ckpt25_layer1,1,de25,25,de25_take2,25,0.9109517335891724
de25_v_de25_take2_ckpt24_layer2,2,de25,24,de25_take2,24,0.8163144588470459
de25_v_de25_take2_ckpt25_layer2,2,de25,25,de25_take2,25,0.7977948188781738
de25_v_de25_take2_ckpt24_layer3,3,de25,24,de25_take2,24,0.9266892075538635
de25_v_de25_take2_ckpt25_layer3,3,de25,25,de25_take2,25,0.9275055527687073
de25_v_de25_take2_ckpt24_layer4,4,de25,24,de25_take2,24,0.913770854473114
de25_v_de25_take2_ckpt25_layer4,4,de25,25,de25_take2,25,0.9024147987365723
de25_v_de25_take2_ckpt24_layer5,5,de25,24,de25_take2,24,0.9026556611061096
de25_v_de25_take2_ckpt25_layer5,5,de25,25,de25_take2,25,0.8959589600563049
de25_v_de25_take2_ckpt24_layer6,6,de25,24,de25_take2,24,0.8477943539619446
de25_v_de25_take2_ckpt25_layer6,6,de25,25,de25_take2,25,0.842715322971344
de25_v_de25_take2_ckpt24_layer7,7,de25,24,de25_take2,24,0.8413024544715881
de25_v_de25_take2_ckpt25_layer7,7,de25,25,de25_take2,25,0.8601213693618774
de25_v_de25_take2_ckpt24_layer8,8,de25,24,de25_take2,24,0.8491290211677551
de25_v_de25_take2_ckpt25_layer8,8,de25,25,de25_take2,25,0.8317962884902954
de25_v_de25_take2_ckpt24_layer9,9,de25,24,de25_take2,24,0.8614619970321655
de25_v_de25_take2_ckpt25_layer9,9,de25,25,de25_take2,25,0.8462827801704407
de25_v_de25_take2_ckpt24_layer10,10,de25,24,de25_take2,24,0.8585165143013
de25_v_de25_take2_ckpt25_layer10,10,de25,25,de25_take2,25,0.8601441383361816
de25_v_de25_take2_ckpt24_layer11,11,de25,24,de25_take2,24,0.8608283400535583
de25_v_de25_take2_ckpt25_layer11,11,de25,25,de25_take2,25,0.8566569685935974
de25_v_de25_take3_ckpt24_layer0,0,de25,24,de25_take3,24,0.9343246817588806
de25_v_de25_take3_ckpt25_layer0,0,de25,25,de25_take3,25,0.9791803359985352
de25_v_de25_take3_ckpt24_layer1,1,de25,24,de25_take3,24,0.8982707858085632
de25_v_de25_take3_ckpt25_layer1,1,de25,25,de25_take3,25,0.9442734718322754
de25_v_de25_take3_ckpt24_layer2,2,de25,24,de25_take3,24,0.8342334628105164
de25_v_de25_take3_ckpt25_layer2,2,de25,25,de25_take3,25,0.866924524307251
de25_v_de25_take3_ckpt24_layer3,3,de25,24,de25_take3,24,0.8228682279586792
de25_v_de25_take3_ckpt25_layer3,3,de25,25,de25_take3,25,0.8551716208457947
de25_v_de25_take3_ckpt24_layer4,4,de25,24,de25_take3,24,0.8740032911300659
de25_v_de25_take3_ckpt25_layer4,4,de25,25,de25_take3,25,0.8928703665733337
de25_v_de25_take3_ckpt24_layer5,5,de25,24,de25_take3,24,0.8273814916610718
de25_v_de25_take3_ckpt25_layer5,5,de25,25,de25_take3,25,0.8723594546318054
de25_v_de25_take3_ckpt24_layer6,6,de25,24,de25_take3,24,0.7888101935386658
de25_v_de25_take3_ckpt25_layer6,6,de25,25,de25_take3,25,0.8359149098396301
de25_v_de25_take3_ckpt24_layer7,7,de25,24,de25_take3,24,0.7750996947288513
de25_v_de25_take3_ckpt25_layer7,7,de25,25,de25_take3,25,0.8279895186424255
de25_v_de25_take3_ckpt24_layer8,8,de25,24,de25_take3,24,0.8226109147071838
de25_v_de25_take3_ckpt25_layer8,8,de25,25,de25_take3,25,0.8297973871231079
de25_v_de25_take3_ckpt24_layer9,9,de25,24,de25_take3,24,0.8153469562530518
de25_v_de25_take3_ckpt25_layer9,9,de25,25,de25_take3,25,0.8337278366088867
de25_v_de25_take3_ckpt24_layer10,10,de25,24,de25_take3,24,0.8283830881118774
de25_v_de25_take3_ckpt25_layer10,10,de25,25,de25_take3,25,0.84153813123703
de25_v_de25_take3_ckpt24_layer11,11,de25,24,de25_take3,24,0.8520945906639099
de25_v_de25_take3_ckpt25_layer11,11,de25,25,de25_take3,25,0.8653045892715454
de25_v_fr25_ckpt24_layer0,0,de25,24,fr25,24,0.9690200686454773
de25_v_fr25_ckpt25_layer0,0,de25,25,fr25,25,0.9125210642814636
de25_v_fr25_ckpt24_layer1,1,de25,24,fr25,24,0.8865491151809692
de25_v_fr25_ckpt25_layer1,1,de25,25,fr25,25,0.8467335104942322
de25_v_fr25_ckpt24_layer2,2,de25,24,fr25,24,0.6519851088523865
de25_v_fr25_ckpt25_layer2,2,de25,25,fr25,25,0.6261209845542908
de25_v_fr25_ckpt24_layer3,3,de25,24,fr25,24,0.5066900253295898
de25_v_fr25_ckpt25_layer3,3,de25,25,fr25,25,0.5296775698661804
de25_v_fr25_ckpt24_layer4,4,de25,24,fr25,24,0.508316695690155
de25_v_fr25_ckpt25_layer4,4,de25,25,fr25,25,0.5067184567451477
de25_v_fr25_ckpt24_layer5,5,de25,24,fr25,24,0.47381293773651123
de25_v_fr25_ckpt25_layer5,5,de25,25,fr25,25,0.48325127363204956
de25_v_fr25_ckpt24_layer6,6,de25,24,fr25,24,0.47252094745635986
de25_v_fr25_ckpt25_layer6,6,de25,25,fr25,25,0.40777677297592163
de25_v_fr25_ckpt24_layer7,7,de25,24,fr25,24,0.5443591475486755
de25_v_fr25_ckpt25_layer7,7,de25,25,fr25,25,0.5338991284370422
de25_v_fr25_ckpt24_layer8,8,de25,24,fr25,24,0.6260309815406799
de25_v_fr25_ckpt25_layer8,8,de25,25,fr25,25,0.5814570188522339
de25_v_fr25_ckpt24_layer9,9,de25,24,fr25,24,0.6364867687225342
de25_v_fr25_ckpt25_layer9,9,de25,25,fr25,25,0.5865890383720398
de25_v_fr25_ckpt24_layer10,10,de25,24,fr25,24,0.633952796459198
de25_v_fr25_ckpt25_layer10,10,de25,25,fr25,25,0.5933578610420227
de25_v_fr25_ckpt24_layer11,11,de25,24,fr25,24,0.530134379863739
de25_v_fr25_ckpt25_layer11,11,de25,25,fr25,25,0.49651092290878296
de25_v_fr25_take2_ckpt24_layer0,0,de25,24,fr25_take2,24,0.9670795202255249
de25_v_fr25_take2_ckpt25_layer0,0,de25,25,fr25_take2,25,0.9344498515129089
de25_v_fr25_take2_ckpt24_layer1,1,de25,24,fr25_take2,24,0.8917310833930969
de25_v_fr25_take2_ckpt25_layer1,1,de25,25,fr25_take2,25,0.8529962301254272
de25_v_fr25_take2_ckpt24_layer2,2,de25,24,fr25_take2,24,0.6288539171218872
de25_v_fr25_take2_ckpt25_layer2,2,de25,25,fr25_take2,25,0.6073651909828186
de25_v_fr25_take2_ckpt24_layer3,3,de25,24,fr25_take2,24,0.5152973532676697
de25_v_fr25_take2_ckpt25_layer3,3,de25,25,fr25_take2,25,0.544074535369873
