layer,accuracy,phon_lang,model_lang,model_seed
0,0.3908,de,de,1
1,0.4979,de,de,1
2,0.5766,de,de,1
3,0.6392,de,de,1
4,0.6833,de,de,1
5,0.7228,de,de,1
6,0.744,de,de,1
7,0.7531,de,de,1
8,0.7572,de,de,1
9,0.7604,de,de,1
10,0.7459,de,de,1
11,0.7313,de,de,1
12,0.6906,de,de,1
0,0.3945,de,de,2
1,0.491,de,de,2
2,0.5843,de,de,2
3,0.6361,de,de,2
4,0.6842,de,de,2
5,0.7191,de,de,2
6,0.7409,de,de,2
7,0.7546,de,de,2
8,0.766,de,de,2
9,0.7629,de,de,2
10,0.7477,de,de,2
11,0.7341,de,de,2
12,0.6928,de,de,2
0,0.3931,de,de,3
1,0.5028,de,de,3
2,0.5907,de,de,3
3,0.652,de,de,3
4,0.6945,de,de,3
5,0.7229,de,de,3
6,0.7451,de,de,3
7,0.7569,de,de,3
8,0.7652,de,de,3
9,0.7593,de,de,3
10,0.7521,de,de,3
11,0.737,de,de,3
12,0.6925,de,de,3
0,0.3903,de,de,4
1,0.5042,de,de,4
2,0.5997,de,de,4
3,0.6555,de,de,4
4,0.7024,de,de,4
5,0.7239,de,de,4
6,0.7482,de,de,4
7,0.76,de,de,4
8,0.7632,de,de,4
9,0.758,de,de,4
10,0.7464,de,de,4
11,0.7325,de,de,4
12,0.6915,de,de,4
0,0.3885,de,de,5
1,0.4965,de,de,5
2,0.5972,de,de,5
3,0.6523,de,de,5
4,0.6883,de,de,5
5,0.7258,de,de,5
6,0.7466,de,de,5
7,0.7616,de,de,5
8,0.7643,de,de,5
9,0.7574,de,de,5
10,0.7477,de,de,5
11,0.7348,de,de,5
12,0.696,de,de,5
0,0.389,de,de2en,1
1,0.4955,de,de2en,1
2,0.5868,de,de2en,1
3,0.6308,de,de2en,1
4,0.6694,de,de2en,1
5,0.6813,de,de2en,1
6,0.6911,de,de2en,1
7,0.6976,de,de2en,1
8,0.6935,de,de2en,1
9,0.6856,de,de2en,1
10,0.6792,de,de2en,1
11,0.6733,de,de2en,1
12,0.6387,de,de2en,1
0,0.3873,de,de2en,2
1,0.4959,de,de2en,2
2,0.5846,de,de2en,2
3,0.6275,de,de2en,2
4,0.6687,de,de2en,2
5,0.68,de,de2en,2
6,0.6805,de,de2en,2
7,0.6878,de,de2en,2
8,0.6916,de,de2en,2
9,0.6845,de,de2en,2
10,0.6741,de,de2en,2
11,0.6646,de,de2en,2
12,0.6317,de,de2en,2
