epoch,layer,model_a,seed_a,model_b,seed_b,score
4,0,de,4,fr,4,0.9846
5,0,de,4,fr,4,0.986
6,0,de,4,fr,4,0.9856
7,0,de,4,fr,4,0.9822
8,0,de,4,fr,4,0.9833
9,0,de,4,fr,4,0.9852
10,0,de,4,fr,4,0.9814
11,0,de,4,fr,4,0.9809
12,0,de,4,fr,4,0.9848
13,0,de,4,fr,4,0.9809
14,0,de,4,fr,4,0.982
15,0,de,4,fr,4,0.9825
16,0,de,4,fr,4,0.9848
17,0,de,4,fr,4,0.9796
18,0,de,4,fr,4,0.9821
19,0,de,4,fr,4,0.9731
20,0,de,4,fr,4,0.9822
21,0,de,4,fr,4,0.9794
22,0,de,4,fr,4,0.9841
23,0,de,4,fr,4,0.9737
24,0,de,4,fr,4,0.9835
4,1,de,4,fr,4,0.7989
5,1,de,4,fr,4,0.8129
6,1,de,4,fr,4,0.8302
7,1,de,4,fr,4,0.8121
8,1,de,4,fr,4,0.7918
9,1,de,4,fr,4,0.7848
10,1,de,4,fr,4,0.8194
11,1,de,4,fr,4,0.7966
12,1,de,4,fr,4,0.8278
13,1,de,4,fr,4,0.8232
14,1,de,4,fr,4,0.8029
15,1,de,4,fr,4,0.8005
16,1,de,4,fr,4,0.8304
17,1,de,4,fr,4,0.817
18,1,de,4,fr,4,0.8327
19,1,de,4,fr,4,0.8071
20,1,de,4,fr,4,0.8337
21,1,de,4,fr,4,0.8249
22,1,de,4,fr,4,0.8553
23,1,de,4,fr,4,0.8554
24,1,de,4,fr,4,0.821
4,2,de,4,fr,4,0.5959
5,2,de,4,fr,4,0.668
6,2,de,4,fr,4,0.6353
7,2,de,4,fr,4,0.6709
8,2,de,4,fr,4,0.6554
9,2,de,4,fr,4,0.6465
10,2,de,4,fr,4,0.6903
11,2,de,4,fr,4,0.6195
12,2,de,4,fr,4,0.71
13,2,de,4,fr,4,0.673
14,2,de,4,fr,4,0.6855
15,2,de,4,fr,4,0.6621
16,2,de,4,fr,4,0.6972
17,2,de,4,fr,4,0.6979
18,2,de,4,fr,4,0.716
19,2,de,4,fr,4,0.6889
20,2,de,4,fr,4,0.6963
21,2,de,4,fr,4,0.7179
22,2,de,4,fr,4,0.7072
23,2,de,4,fr,4,0.7241
24,2,de,4,fr,4,0.7444
