layer,score,eval_lang,model_a,seed_a,model_b,seed_b,pre_steps
0,0.9805,de,de,1,fr,1,0
1,0.8731,de,de,1,fr,1,0
2,0.6571,de,de,1,fr,1,0
3,0.5623,de,de,1,fr,1,0
4,0.5464,de,de,1,fr,1,0
5,0.4911,de,de,1,fr,1,0
6,0.4166,de,de,1,fr,1,0
7,0.5181,de,de,1,fr,1,0
8,0.598,de,de,1,fr,1,0
9,0.5869,de,de,1,fr,1,0
10,0.5882,de,de,1,fr,1,0
11,0.4823,de,de,1,fr,1,0
12,0.5471,de,de,1,fr,1,0
0,0.9651,de,de,1,fr,2,0
1,0.8756,de,de,1,fr,2,0
2,0.6392,de,de,1,fr,2,0
3,0.5612,de,de,1,fr,2,0
4,0.5613,de,de,1,fr,2,0
5,0.5579,de,de,1,fr,2,0
6,0.5274,de,de,1,fr,2,0
7,0.5187,de,de,1,fr,2,0
8,0.6278,de,de,1,fr,2,0
9,0.6502,de,de,1,fr,2,0
10,0.5959,de,de,1,fr,2,0
11,0.5041,de,de,1,fr,2,0
12,0.5514,de,de,1,fr,2,0
0,0.9761,de,de,1,fr,4,0
1,0.8764,de,de,1,fr,4,0
2,0.6808,de,de,1,fr,4,0
3,0.5957,de,de,1,fr,4,0
4,0.5792,de,de,1,fr,4,0
5,0.5773,de,de,1,fr,4,0
6,0.4222,de,de,1,fr,4,0
7,0.4682,de,de,1,fr,4,0
8,0.6357,de,de,1,fr,4,0
9,0.6382,de,de,1,fr,4,0
10,0.5835,de,de,1,fr,4,0
11,0.5007,de,de,1,fr,4,0
12,0.5125,de,de,1,fr,4,0
0,0.9728,de,de,1,fr,5,0
1,0.8459,de,de,1,fr,5,0
2,0.6374,de,de,1,fr,5,0
3,0.5524,de,de,1,fr,5,0
4,0.5532,de,de,1,fr,5,0
5,0.5653,de,de,1,fr,5,0
6,0.6139,de,de,1,fr,5,0
7,0.573,de,de,1,fr,5,0
8,0.5139,de,de,1,fr,5,0
9,0.5551,de,de,1,fr,5,0
10,0.6134,de,de,1,fr,5,0
11,0.5016,de,de,1,fr,5,0
12,0.5309,de,de,1,fr,5,0
0,0.9738,de,de,1,fr,6,0
1,0.8609,de,de,1,fr,6,0
2,0.6603,de,de,1,fr,6,0
3,0.5964,de,de,1,fr,6,0
4,0.556,de,de,1,fr,6,0
5,0.576,de,de,1,fr,6,0
6,0.4946,de,de,1,fr,6,0
7,0.5384,de,de,1,fr,6,0
8,0.6184,de,de,1,fr,6,0
9,0.6224,de,de,1,fr,6,0
10,0.5667,de,de,1,fr,6,0
11,0.4908,de,de,1,fr,6,0
12,0.5127,de,de,1,fr,6,0
0,0.9777,de,de,1,fr,7,0
1,0.8823,de,de,1,fr,7,0
2,0.6731,de,de,1,fr,7,0
3,0.6244,de,de,1,fr,7,0
4,0.6077,de,de,1,fr,7,0
5,0.6372,de,de,1,fr,7,0
6,0.5818,de,de,1,fr,7,0
7,0.5097,de,de,1,fr,7,0
8,0.6118,de,de,1,fr,7,0
9,0.6637,de,de,1,fr,7,0
10,0.6199,de,de,1,fr,7,0
11,0.5116,de,de,1,fr,7,0
12,0.5492,de,de,1,fr,7,0
0,0.977,de,de,2,fr,1,0
1,0.8487,de,de,2,fr,1,0
2,0.6808,de,de,2,fr,1,0
3,0.5616,de,de,2,fr,1,0
4,0.5616,de,de,2,fr,1,0
5,0.4979,de,de,2,fr,1,0
6,0.4023,de,de,2,fr,1,0
7,0.5054,de,de,2,fr,1,0
8,0.5786,de,de,2,fr,1,0
9,0.5817,de,de,2,fr,1,0
10,0.5486,de,de,2,fr,1,0
11,0.5021,de,de,2,fr,1,0
12,0.5206,de,de,2,fr,1,0
0,0.9816,de,de,2,fr,2,0
1,0.8459,de,de,2,fr,2,0
2,0.6819,de,de,2,fr,2,0
3,0.563,de,de,2,fr,2,0
4,0.5632,de,de,2,fr,2,0
5,0.5085,de,de,2,fr,2,0
6,0.4908,de,de,2,fr,2,0
7,0.5285,de,de,2,fr,2,0
8,0.633,de,de,2,fr,2,0
9,0.6417,de,de,2,fr,2,0
10,0.568,de,de,2,fr,2,0
11,0.5271,de,de,2,fr,2,0
12,0.5337,de,de,2,fr,2,0
0,0.9568,de,de,2,fr,4,0
1,0.8534,de,de,2,fr,4,0
2,0.6905,de,de,2,fr,4,0
3,0.5872,de,de,2,fr,4,0
4,0.5615,de,de,2,fr,4,0
5,0.5359,de,de,2,fr,4,0
6,0.3959,de,de,2,fr,4,0
7,0.4594,de,de,2,fr,4,0
8,0.6123,de,de,2,fr,4,0
9,0.6182,de,de,2,fr,4,0
10,0.537,de,de,2,fr,4,0
11,0.5286,de,de,2,fr,4,0
12,0.4928,de,de,2,fr,4,0
0,0.9756,de,de,2,fr,5,0
1,0.8305,de,de,2,fr,5,0
2,0.6722,de,de,2,fr,5,0
3,0.5655,de,de,2,fr,5,0
4,0.56,de,de,2,fr,5,0
5,0.5232,de,de,2,fr,5,0
6,0.5337,de,de,2,fr,5,0
7,0.568,de,de,2,fr,5,0
8,0.5027,de,de,2,fr,5,0
9,0.524,de,de,2,fr,5,0
10,0.5729,de,de,2,fr,5,0
11,0.5186,de,de,2,fr,5,0
12,0.5045,de,de,2,fr,5,0
0,0.9588,de,de,2,fr,6,0
1,0.8231,de,de,2,fr,6,0
2,0.6727,de,de,2,fr,6,0
3,0.5984,de,de,2,fr,6,0
4,0.5678,de,de,2,fr,6,0
5,0.5359,de,de,2,fr,6,0
6,0.432,de,de,2,fr,6,0
7,0.4987,de,de,2,fr,6,0
8,0.6042,de,de,2,fr,6,0
9,0.6139,de,de,2,fr,6,0
10,0.5009,de,de,2,fr,6,0
11,0.5205,de,de,2,fr,6,0
12,0.4833,de,de,2,fr,6,0
0,0.974,de,de,2,fr,7,0
1,0.8643,de,de,2,fr,7,0
2,0.715,de,de,2,fr,7,0
3,0.6267,de,de,2,fr,7,0
4,0.6043,de,de,2,fr,7,0
5,0.5706,de,de,2,fr,7,0
6,0.4932,de,de,2,fr,7,0
7,0.4941,de,de,2,fr,7,0
8,0.5821,de,de,2,fr,7,0
9,0.6452,de,de,2,fr,7,0
10,0.5733,de,de,2,fr,7,0
11,0.5275,de,de,2,fr,7,0
12,0.5306,de,de,2,fr,7,0
0,0.9763,de,de,3,fr,1,0
1,0.8454,de,de,3,fr,1,0
2,0.6958,de,de,3,fr,1,0
