steps,valid_acc,label
0,0,de5_fr25
100,0.0963,de5_fr25
200,0.219,de5_fr25
300,0.368,de5_fr25
400,0.507,de5_fr25
500,0.633,de5_fr25
600,0.718,de5_fr25
700,0.776,de5_fr25
800,0.807,de5_fr25
900,0.83,de5_fr25
1000,0.842,de5_fr25
1100,0.856,de5_fr25
1200,0.865,de5_fr25
1300,0.876,de5_fr25
1400,0.881,de5_fr25
1500,0.887,de5_fr25
1600,0.893,de5_fr25
1700,0.897,de5_fr25
1800,0.9,de5_fr25
1900,0.905,de5_fr25
2000,0.907,de5_fr25
2100,0.908,de5_fr25
2200,0.91,de5_fr25
2300,0.912,de5_fr25
2400,0.915,de5_fr25
2500,0.916,de5_fr25
2600,0.918,de5_fr25
2700,0.919,de5_fr25
2800,0.92,de5_fr25
2900,0.921,de5_fr25
3000,0.924,de5_fr25
0,0,de5_fr25_take2
100,0.0959,de5_fr25_take2
200,0.179,de5_fr25_take2
300,0.33,de5_fr25_take2
400,0.46,de5_fr25_take2
500,0.596,de5_fr25_take2
600,0.697,de5_fr25_take2
700,0.761,de5_fr25_take2
800,0.795,de5_fr25_take2
900,0.82,de5_fr25_take2
1000,0.837,de5_fr25_take2
1100,0.851,de5_fr25_take2
1200,0.863,de5_fr25_take2
1300,0.87,de5_fr25_take2
1400,0.876,de5_fr25_take2
1500,0.883,de5_fr25_take2
1600,0.889,de5_fr25_take2
1700,0.893,de5_fr25_take2
1800,0.897,de5_fr25_take2
1900,0.901,de5_fr25_take2
2000,0.903,de5_fr25_take2
2100,0.906,de5_fr25_take2
2200,0.908,de5_fr25_take2
2300,0.911,de5_fr25_take2
2400,0.912,de5_fr25_take2
2500,0.913,de5_fr25_take2
2600,0.914,de5_fr25_take2
2700,0.917,de5_fr25_take2
2800,0.917,de5_fr25_take2
2900,0.919,de5_fr25_take2
3000,0.921,de5_fr25_take2
0,0,de5_fr25_take3
100,0.0972,de5_fr25_take3
200,0.198,de5_fr25_take3
300,0.36,de5_fr25_take3
400,0.493,de5_fr25_take3
500,0.615,de5_fr25_take3
600,0.712,de5_fr25_take3
700,0.77,de5_fr25_take3
800,0.805,de5_fr25_take3
900,0.83,de5_fr25_take3
1000,0.844,de5_fr25_take3
1100,0.859,de5_fr25_take3
1200,0.87,de5_fr25_take3
1300,0.878,de5_fr25_take3
1400,0.883,de5_fr25_take3
1500,0.889,de5_fr25_take3
1600,0.895,de5_fr25_take3
1700,0.899,de5_fr25_take3
1800,0.902,de5_fr25_take3
1900,0.906,de5_fr25_take3
2000,0.909,de5_fr25_take3
2100,0.91,de5_fr25_take3
2200,0.912,de5_fr25_take3
2300,0.915,de5_fr25_take3
2400,0.916,de5_fr25_take3
2500,0.918,de5_fr25_take3
2600,0.919,de5_fr25_take3
2700,0.922,de5_fr25_take3
2800,0.921,de5_fr25_take3
2900,0.922,de5_fr25_take3
3000,0.924,de5_fr25_take3
0,0,de5_fr25_take4
100,0.0946,de5_fr25_take4
200,0.198,de5_fr25_take4
300,0.358,de5_fr25_take4
400,0.479,de5_fr25_take4
500,0.613,de5_fr25_take4
600,0.711,de5_fr25_take4
700,0.771,de5_fr25_take4
800,0.805,de5_fr25_take4
900,0.83,de5_fr25_take4
1000,0.842,de5_fr25_take4
1100,0.859,de5_fr25_take4
1200,0.869,de5_fr25_take4
1300,0.876,de5_fr25_take4
1400,0.883,de5_fr25_take4
1500,0.889,de5_fr25_take4
1600,0.894,de5_fr25_take4
1700,0.897,de5_fr25_take4
1800,0.903,de5_fr25_take4
1900,0.905,de5_fr25_take4
2000,0.908,de5_fr25_take4
2100,0.91,de5_fr25_take4
2200,0.911,de5_fr25_take4
2300,0.914,de5_fr25_take4
2400,0.914,de5_fr25_take4
2500,0.917,de5_fr25_take4
2600,0.919,de5_fr25_take4
2700,0.919,de5_fr25_take4
2800,0.921,de5_fr25_take4
2900,0.922,de5_fr25_take4
3000,0.924,de5_fr25_take4
0,0,de5_fr25_take5
100,0.0954,de5_fr25_take5
200,0.256,de5_fr25_take5
300,0.39,de5_fr25_take5
400,0.526,de5_fr25_take5
500,0.636,de5_fr25_take5
600,0.725,de5_fr25_take5
700,0.776,de5_fr25_take5
800,0.809,de5_fr25_take5
900,0.832,de5_fr25_take5
1000,0.846,de5_fr25_take5
1100,0.86,de5_fr25_take5
1200,0.868,de5_fr25_take5
1300,0.877,de5_fr25_take5
1400,0.885,de5_fr25_take5
1500,0.89,de5_fr25_take5
1600,0.894,de5_fr25_take5
1700,0.899,de5_fr25_take5
1800,0.904,de5_fr25_take5
1900,0.907,de5_fr25_take5
2000,0.909,de5_fr25_take5
2100,0.911,de5_fr25_take5
2200,0.912,de5_fr25_take5
2300,0.914,de5_fr25_take5
2400,0.916,de5_fr25_take5
2500,0.917,de5_fr25_take5
2600,0.92,de5_fr25_take5
2700,0.922,de5_fr25_take5
2800,0.922,de5_fr25_take5
2900,0.922,de5_fr25_take5
3000,0.925,de5_fr25_take5
0,0,de5_fr25_take6
100,0.0964,de5_fr25_take6
200,0.201,de5_fr25_take6
300,0.367,de5_fr25_take6
400,0.486,de5_fr25_take6
500,0.619,de5_fr25_take6
600,0.711,de5_fr25_take6
700,0.764,de5_fr25_take6
800,0.796,de5_fr25_take6
900,0.817,de5_fr25_take6
1000,0.832,de5_fr25_take6
1100,0.846,de5_fr25_take6
1200,0.857,de5_fr25_take6
1300,0.867,de5_fr25_take6
1400,0.876,de5_fr25_take6
1500,0.881,de5_fr25_take6
1600,0.887,de5_fr25_take6
1700,0.892,de5_fr25_take6
1800,0.894,de5_fr25_take6
1900,0.898,de5_fr25_take6
2000,0.9,de5_fr25_take6
2100,0.903,de5_fr25_take6
2200,0.905,de5_fr25_take6
2300,0.906,de5_fr25_take6
2400,0.908,de5_fr25_take6
2500,0.909,de5_fr25_take6
2600,0.912,de5_fr25_take6
2700,0.914,de5_fr25_take6
2800,0.916,de5_fr25_take6
2900,0.917,de5_fr25_take6
3000,0.92,de5_fr25_take6
0,0,de5_fr25_take7
100,0.0948,de5_fr25_take7
200,0.15,de5_fr25_take7
300,0.309,de5_fr25_take7
400,0.46,de5_fr25_take7
500,0.6,de5_fr25_take7
600,0.706,de5_fr25_take7
700,0.766,de5_fr25_take7
800,0.802,de5_fr25_take7
900,0.826,de5_fr25_take7
1000,0.837,de5_fr25_take7
1100,0.855,de5_fr25_take7
1200,0.864,de5_fr25_take7
1300,0.872,de5_fr25_take7
1400,0.88,de5_fr25_take7
1500,0.886,de5_fr25_take7
1600,0.891,de5_fr25_take7
1700,0.894,de5_fr25_take7
1800,0.898,de5_fr25_take7
1900,0.901,de5_fr25_take7
2000,0.903,de5_fr25_take7
2100,0.905,de5_fr25_take7
2200,0.909,de5_fr25_take7
2300,0.911,de5_fr25_take7
2400,0.912,de5_fr25_take7
2500,0.914,de5_fr25_take7
2600,0.916,de5_fr25_take7
2700,0.917,de5_fr25_take7
2800,0.917,de5_fr25_take7
2900,0.92,de5_fr25_take7
3000,0.922,de5_fr25_take7
0,0,en5_fr25
100,0.0894,en5_fr25
200,0.173,en5_fr25
300,0.325,en5_fr25
400,0.438,en5_fr25
500,0.552,en5_fr25
600,0.659,en5_fr25
700,0.727,en5_fr25
