steps,base,seed,dir,layers,valid_acc
700,fr25,2,de2fr,1-4,0.699
800,fr25,2,de2fr,1-4,0.753
600,de5_fr25,2,de2fr,1-4,0.644
700,de5_fr25,2,de2fr,1-4,0.715
600,fr25,2,de2fr,5-8,0.648
700,fr25,2,de2fr,5-8,0.72
600,de5_fr25,2,de2fr,5-8,0.688
700,de5_fr25,2,de2fr,5-8,0.756
600,fr25,2,de2fr,9-12,0.646
700,fr25,2,de2fr,9-12,0.718
600,de5_fr25,2,de2fr,9-12,0.695
700,de5_fr25,2,de2fr,9-12,0.754
600,fr25,1,de2fr,1-4,0.628
700,fr25,1,de2fr,1-4,0.709
600,de5_fr25,1,de2fr,1-4,0.653
700,de5_fr25,1,de2fr,1-4,0.722
600,fr25,1,de2fr,5-8,0.652
700,fr25,1,de2fr,5-8,0.726
600,de5_fr25,1,de2fr,5-8,0.699
700,de5_fr25,1,de2fr,5-8,0.758
600,fr25,1,de2fr,9-12,0.635
700,fr25,1,de2fr,9-12,0.711
600,de5_fr25,1,de2fr,9-12,0.694
700,de5_fr25,1,de2fr,9-12,0.755
700,fr25,5,de2fr,1-4,0.673
800,fr25,5,de2fr,1-4,0.731
600,de5_fr25,5,de2fr,1-4,0.644
700,de5_fr25,5,de2fr,1-4,0.711
700,fr25,5,de2fr,5-8,0.698
800,fr25,5,de2fr,5-8,0.757
600,de5_fr25,5,de2fr,5-8,0.695
700,de5_fr25,5,de2fr,5-8,0.754
700,fr25,5,de2fr,9-12,0.684
800,fr25,5,de2fr,9-12,0.746
600,de5_fr25,5,de2fr,9-12,0.693
700,de5_fr25,5,de2fr,9-12,0.754
800,en25,1,fr2en,1-4,0.685
900,en25,1,fr2en,1-4,0.72
700,fr5_en25,1,fr2en,1-4,0.672
800,fr5_en25,1,fr2en,1-4,0.721
700,en25,1,fr2en,5-8,0.662
800,en25,1,fr2en,5-8,0.706
600,fr5_en25,1,fr2en,5-8,0.651
700,fr5_en25,1,fr2en,5-8,0.709
700,en25,1,fr2en,9-12,0.658
800,en25,1,fr2en,9-12,0.71
600,fr5_en25,1,fr2en,9-12,0.655
700,fr5_en25,1,fr2en,9-12,0.713
800,en25,2,fr2en,1-4,0.67
900,en25,2,fr2en,1-4,0.712
800,fr5_en25,2,fr2en,1-4,0.677
900,fr5_en25,2,fr2en,1-4,0.722
700,en25,2,fr2en,5-8,0.666
800,en25,2,fr2en,5-8,0.719
600,fr5_en25,2,fr2en,5-8,0.644
700,fr5_en25,2,fr2en,5-8,0.707
700,en25,2,fr2en,9-12,0.652
800,en25,2,fr2en,9-12,0.707
700,fr5_en25,2,fr2en,9-12,0.699
800,fr5_en25,2,fr2en,9-12,0.736
800,en25,3,fr2en,1-4,0.677
900,en25,3,fr2en,1-4,0.718
700,fr5_en25,3,fr2en,1-4,0.652
800,fr5_en25,3,fr2en,1-4,0.708
700,en25,3,fr2en,5-8,0.661
800,en25,3,fr2en,5-8,0.721
700,fr5_en25,3,fr2en,5-8,0.699
800,fr5_en25,3,fr2en,5-8,0.745
700,en25,3,fr2en,9-12,0.66
800,en25,3,fr2en,9-12,0.709
700,fr5_en25,3,fr2en,9-12,0.699
800,fr5_en25,3,fr2en,9-12,0.742
1000,de25,2,en2de,1-4,0.694
1100,de25,2,en2de,1-4,0.716
900,en5_de25,2,en2de,1-4,0.691
1000,en5_de25,2,en2de,1-4,0.712
900,de25,2,en2de,5-8,0.694
1000,de25,2,en2de,5-8,0.717
800,en5_de25,2,en2de,5-8,0.699
900,en5_de25,2,en2de,5-8,0.726
900,de25,2,en2de,9-12,0.695
1000,de25,2,en2de,9-12,0.709
800,en5_de25,2,en2de,9-12,0.694
900,en5_de25,2,en2de,9-12,0.719
1000,de25,4,en2de,1-4,0.681
1100,de25,4,en2de,1-4,0.703
900,en5_de25,4,en2de,1-4,0.682
1000,en5_de25,4,en2de,1-4,0.705
900,de25,4,en2de,5-8,0.692
1000,de25,4,en2de,5-8,0.714
800,en5_de25,4,en2de,5-8,0.697
900,en5_de25,4,en2de,5-8,0.723
900,de25,4,en2de,9-12,0.684
1000,de25,4,en2de,9-12,0.706
800,en5_de25,4,en2de,9-12,0.682
900,en5_de25,4,en2de,9-12,0.713
1000,de25,5/6,en2de,1-4,0.68
1100,de25,5/6,en2de,1-4,0.704
900,en5_de25,5/6,en2de,1-4,0.684
1000,en5_de25,5/6,en2de,1-4,0.706
900,de25,5/6,en2de,5-8,0.688
1000,de25,5/6,en2de,5-8,0.71
800,en5_de25,5/6,en2de,5-8,0.692
900,en5_de25,5/6,en2de,5-8,0.72
900,de25,5/6,en2de,9-12,0.683
1000,de25,5/6,en2de,9-12,0.711
800,en5_de25,5/6,en2de,9-12,0.69
900,en5_de25,5/6,en2de,9-12,0.713
